Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,Price($)
Intel Pentium 4 519K,CPU,1/1/2005,90,84,109,125,3060,Intel,Intel,27.25
Intel Core 2 Duo E4400,CPU,7/22/2007,65,65,111,167,2000,Intel,Intel,27.75
AMD Athlon 1400,CPU,6/6/2001,180,72,120,37,1400,Unknown,AMD,30
AMD Sempron 3000+,CPU,11/23/2004,90,25,,63,1800,Unknown,AMD,0
Intel Xeon E5-2637 v2,CPU,9/1/2013,22,130,160,1400,3500,Intel,Intel,40
Intel Core i5-9500,CPU,10/19/2018,14,65,,,3000,Intel,Intel,0
Intel Xeon Silver 4316,CPU,4/6/2021,10,150,,,2300,Intel,Intel,0
Intel Xeon E7-4850 v3,CPU,6/1/2015,22,115,160,1400,2200,Intel,Intel,40
Intel Core i3-8000,CPU,9/1/2018,14,65,,,3600,Intel,Intel,0
Intel Pentium G3420,CPU,9/1/2013,22,54,177,1400,3200,Intel,Intel,44.25
Intel Pentium G4560,CPU,1/3/2017,14,51,,,3500,Intel,Intel,0
Intel Core i5-4590,CPU,5/1/2014,22,84,177,1400,3300,Intel,Intel,44.25
Intel Xeon 5120,CPU,6/26/2006,65,65,,,1866,Intel,Intel,0
AMD Athlon 64 3400+,CPU,1/6/2004,130,89,193,105,2200,Unknown,AMD,48.25
Intel Pentium Gold G6400,CPU,4/30/2020,14,58,,,4000,Intel,Intel,0
Intel Xeon E5-2630 v2,CPU,9/1/2013,22,80,160,1400,2600,Intel,Intel,40
Intel Core 2 Duo E8190,CPU,1/1/2008,45,65,104,410,2667,Intel,Intel,26
Intel Pentium G640T,CPU,6/3/2012,32,35,131,504,2400,Intel,Intel,32.75
Intel Core 2 Solo ULV SU3500,CPU,3/29/2009,45,5,107,410,1400,Intel,Intel,26.75
AMD Athlon Gold 3150GE,CPU,7/21/2020,12,35,,,3500,GF,AMD,0
AMD Athlon 220GE,CPU,6/1/2018,14,35,192,4800,3400,Unknown,AMD,48
Intel Core i7-8705G,CPU,2/1/2018,14,65,,,3100,Intel,Intel,0
AMD Sempron 2600+,CPU,1/1/2001,130,25,144,69,1600,Unknown,AMD,36
AMD Athlon II X3 425,CPU,10/20/2009,45,95,169,300,2700,Unknown,AMD,42.25
Intel Core i5-6600K,CPU,7/2/2015,14,95,,,3500,Intel,Intel,0
AMD Athlon 64 4000+ (F3),CPU,2/20/2007,90,59,1,154,2600,Unknown,AMD,0.25
Intel Xeon 5063,CPU,5/23/2006,65,95,,,3200,Intel,Intel,0
AMD Sempron LE-1250,CPU,10/8/2007,65,45,,,2200,Unknown,AMD,0
Intel Xeon 3.4,CPU,6/28/2004,90,135,135,155,3400,Intel,Intel,33.75
Intel Celeron N2840,CPU,5/22/2014,22,7,,,2160,Intel,Intel,0
Intel Celeron G5920,CPU,4/30/2020,14,58,,,3500,Intel,Intel,0
AMD Athlon II X3 445,CPU,5/11/2010,45,95,169,300,3100,Unknown,AMD,42.25
Intel Pentium Gold G6500,CPU,4/30/2020,14,58,,,4100,Intel,Intel,0
AMD Ryzen 3 3200G,CPU,7/7/2019,12,65,210,49,3600,GF,AMD,52.5
AMD Opteron 146,CPU,8/2/2005,90,67,,106,2000,Unknown,AMD,0
AMD A8-7680,CPU,10/26/2018,28,45,246,1178,3500,Unknown,AMD,61.5
AMD Ryzen Threadripper 1900,CPU,8/31/2017,14,125,213,9600,3100,GF,AMD,53.25
AMD Ryzen 7 2800H,CPU,5/30/2018,14,15,246,,3400,GF,AMD,61.5
AMD Athlon 64 X2 3800+ EE SFF,CPU,5/23/2006,90,35,220,154,2000,Unknown,AMD,55
Intel Core i5-10210Y,CPU,8/21/2019,14,9,,,1000,Intel,Intel,0
AMD Ryzen 5 2500U,CPU,10/26/2017,14,15,246,,2000,GF,AMD,61.5
Intel Core i3-10300,CPU,4/30/2020,14,62,,,3700,Intel,Intel,0
AMD Opteron 248,CPU,12/1/2004,90,85,,106,2200,Unknown,AMD,0
AMD Opteron X2 275,CPU,5/31/2005,90,95,,233,2200,Unknown,AMD,0
Intel Xeon E5-4607,CPU,5/14/2012,32,95,435,2270,2200,Intel,Intel,108.75
Intel Core 2 Duo T7800,CPU,9/27/2007,65,35,143,293,2600,Intel,Intel,35.75
AMD Opteron 844,CPU,6/30/2003,130,85,193,106,1800,Unknown,AMD,48.25
Intel Pentium M 1.70,CPU,6/2/2003,130,24,100,77,1700,Intel,Intel,25
Intel Xeon E7-8870 v3,CPU,6/1/2015,22,140,160,1400,2100,Intel,Intel,40
AMD Athlon II X3 400e,CPU,10/20/2009,45,45,169,300,2200,Unknown,AMD,42.25
Intel Core i5-10310Y,CPU,8/21/2019,14,9,,,1100,Intel,Intel,0
AMD Opteron X2 885,CPU,3/6/2006,90,95,,233,2600,Unknown,AMD,0
Intel Pentium E5300,CPU,11/30/2008,45,65,82,228,2600,Intel,Intel,20.5
AMD Opteron 840,CPU,9/9/2003,130,82,193,106,1400,Unknown,AMD,48.25
AMD Sempron 145,CPU,9/1/2010,45,45,117,234,2800,Unknown,AMD,29.25
Intel Pentium M 730,CPU,1/19/2005,90,27,84,140,1600,Intel,Intel,21
Intel Atom E665CT,CPU,11/22/2010,45,7,26,47,1300,Intel,Intel,6.5
Intel Celeron 2.0,CPU,9/18/2002,130,73,146,55,2000,Intel,Intel,36.5
Intel Xeon 3.06,CPU,7/14/2003,130,97,237,286,3066,Intel,Intel,59.25
Intel Xeon Platinum 9282,CPU,4/2/2019,14,400,,8000,2600,Intel,Intel,0
AMD Opteron 142,CPU,5/18/2004,130,82,193,106,1600,Unknown,AMD,48.25
Intel Xeon X5650,CPU,3/16/2010,32,95,239,1170,2666,Intel,Intel,59.75
AMD Z-01,CPU,6/1/2011,40,6,,,1000,Unknown,AMD,0
AMD A4-3300,CPU,9/7/2011,32,65,228,1178,2500,Unknown,AMD,57
AMD FX-8150,CPU,10/12/2011,32,125,315,1200,3600,Unknown,AMD,78.75
Intel Xeon E7-8850,CPU,4/3/2011,32,130,513,2600,2000,Intel,Intel,128.25
AMD Athlon 64 X2 3800+ EE,CPU,5/23/2006,90,65,220,154,2000,Unknown,AMD,55
Intel Xeon L5630,CPU,3/16/2010,32,40,239,1170,2133,Intel,Intel,59.75
Intel Core Solo ULV U1500,CPU,4/19/2006,65,5,90,151,1333,Intel,Intel,22.5
Intel Pentium 4 511,CPU,1/1/2005,90,84,109,125,2800,Intel,Intel,27.25
Intel Celeron 440,CPU,6/3/2007,65,35,77,105,2000,Intel,Intel,19.25
Intel Xeon Platinum 8253,CPU,12/11/2018,14,125,,8000,2200,Intel,Intel,0
Intel Atom Z650,CPU,4/11/2011,45,3,65,140,1200,Intel,Intel,16.25
AMD A10-6800K,CPU,6/1/2013,32,100,246,1178,4100,Unknown,AMD,61.5
AMD A10-6790K,CPU,10/28/2013,32,100,246,1178,4000,Unknown,AMD,61.5
Intel Celeron D 340,CPU,9/22/2004,90,84,109,125,2930,Intel,Intel,27.25
AMD Turion X2 RM-75,CPU,12/1/2008,65,35,,,2200,Unknown,AMD,0
AMD Opteron 846,CPU,12/1/2004,90,85,,106,2000,Unknown,AMD,0
Intel Pentium M 755,CPU,5/10/2004,90,21,84,140,2000,Intel,Intel,21
AMD Mobile Athlon 64 2700+,CPU,8/1/2004,130,82,193,106,1600,Unknown,AMD,48.25
AMD Athlon X4 970,CPU,7/27/2017,28,65,246,1178,3800,Unknown,AMD,61.5
AMD Sempron 2200+,CPU,1/1/2001,130,62,101,63,1500,Unknown,AMD,25.25
AMD EPYC 7713,CPU,3/15/2021,7,225,,,2000,TSMC,AMD,0
Intel Core i3-4100E,CPU,9/4/2013,22,37,118,1400,2400,Intel,Intel,29.5
Intel Core i5-9600,CPU,10/19/2018,14,65,,,3100,Intel,Intel,0
Intel Core m3-8114Y,CPU,5/5/2018,10,28,123,,1500,Intel,Intel,30.75
AMD A8-5500B,CPU,10/2/2012,32,65,246,1178,3200,Unknown,AMD,61.5
AMD Opteron 244,CPU,12/1/2004,90,85,,106,1800,Unknown,AMD,0
AMD Mobile Athlon 64 2800+,CPU,8/1/2004,130,35,193,106,1800,Unknown,AMD,48.25
Intel Xeon X5570,CPU,3/30/2009,45,95,263,731,2933,Intel,Intel,65.75
Intel Core i9-9980XE,CPU,10/19/2018,14,165,,,3000,Intel,Intel,0
Intel Pentium G4600T,CPU,1/3/2017,14,35,,,3000,Intel,Intel,0
Intel Core i7-960,CPU,10/20/2009,45,130,263,731,3200,Intel,Intel,65.75
AMD Athlon 64 FX-57,CPU,6/27/2005,90,104,115,114,2800,Unknown,AMD,28.75
AMD A4-5150M,CPU,3/12/2013,32,35,246,1178,2700,Unknown,AMD,61.5
Intel Core i7-8700K,CPU,10/5/2017,14,95,154,,3700,Intel,Intel,38.5
Intel Core 2 Duo E7300,CPU,8/10/2008,45,65,107,420,2667,Intel,Intel,26.75
AMD Athlon X2 6500 BE,CPU,9/8/2008,65,95,285,450,2300,Unknown,AMD,71.25
Intel Xeon Gold 5318S,CPU,4/6/2021,10,165,,,2100,Intel,Intel,0
AMD A6-9550,CPU,7/27/2017,28,65,246,1178,3800,Unknown,AMD,61.5
AMD Athlon XP 1700+,CPU,1/1/2001,130,50,80,37,1467,Unknown,AMD,20
AMD Sempron 3500+ EE SFF,CPU,5/23/2006,90,35,103,81,2000,Unknown,AMD,25.75
Intel Pentium G630,CPU,9/4/2011,32,65,131,504,2700,Intel,Intel,32.75
AMD Opteron 148,CPU,8/2/2005,90,85,,106,2200,Unknown,AMD,0
Intel Xeon Gold 5320T,CPU,4/6/2021,10,150,,,2300,Intel,Intel,0
AMD Ryzen 5 2600H,CPU,5/30/2018,14,15,246,,3300,GF,AMD,61.5
Intel Core i5-8250U,CPU,8/21/2017,14,15,123,,1600,Intel,Intel,30.75
Intel Pentium E6500,CPU,8/9/2009,45,65,82,228,2933,Intel,Intel,20.5
Intel Core i5-3335S,CPU,11/1/2012,22,65,160,1480,2700,Intel,Intel,40
Intel Pentium G2120,CPU,9/3/2012,22,55,94,,3100,Intel,Intel,23.5
Intel Core i7-6700TE,CPU,9/1/2015,14,35,,,2400,Intel,Intel,0
Intel Pentium 4 HT 640,CPU,2/20/2005,90,84,109,169,3200,Intel,Intel,27.25
AMD Athlon 220GE,CPU,12/21/2018,14,35,192,4800,3400,Unknown,AMD,48
AMD EPYC 7313,CPU,3/15/2021,7,155,,,3000,TSMC,AMD,0
AMD Opteron 156,CPU,5/1/2005,90,104,,106,3000,Unknown,AMD,0
AMD Phenom II X4 970 BE,CPU,9/21/2010,45,125,258,758,3500,Unknown,AMD,64.5
Intel Core i5-8650,CPU,9/1/2018,14,65,,,3100,Intel,Intel,0
Intel Xeon E5506,CPU,3/30/2009,45,80,263,731,2133,Intel,Intel,65.75
Intel Core i3-6100,CPU,9/1/2015,14,51,150,1400,3700,Intel,Intel,37.5
AMD Ryzen Threadripper PRO 3995WX,CPU,7/14/2020,7,280,74,3800,2700,TSMC,AMD,18.5
Intel Pentium 4 HT 517,CPU,1/1/2001,90,84,109,125,2933,Intel,Intel,27.25
AMD Athlon II X2 270u,CPU,9/21/2010,45,25,117,410,2000,Unknown,AMD,29.25
AMD Athlon 64 3000+,CPU,10/14/2004,90,67,84,69,1800,Unknown,AMD,21
Intel Xeon L5640,CPU,3/16/2010,32,60,239,1170,2266,Intel,Intel,59.75
Intel Xeon Silver 4314,CPU,4/6/2021,10,135,,,2400,Intel,Intel,0
AMD A6-9120C SoC,CPU,1/7/2019,28,6,124,1200,1600,Unknown,AMD,31
Intel Core i9-10920X,CPU,10/19/2019,14,165,,,3500,Intel,Intel,0
Intel Core i5-1035G7,CPU,8/1/2019,10,25,,,1200,Intel,Intel,0
AMD Opteron 244,CPU,5/18/2004,130,82,193,106,1800,Unknown,AMD,48.25
Intel Celeron B830,CPU,9/1/2012,32,35,131,504,1800,Intel,Intel,32.75
AMD Sempron 3000+,CPU,5/23/2006,90,62,103,81,1600,Unknown,AMD,25.75
AMD Athlon 64 X2 5000+ EE,CPU,9/6/2006,90,65,220,154,2600,Unknown,AMD,55
Intel Core i9-9980HK,CPU,4/23/2019,14,45,149,,2400,Intel,Intel,37.25
Intel Xeon Gold 6338T,CPU,4/6/2021,10,165,,,2100,Intel,Intel,0
AMD Opteron X2 265,CPU,5/31/2005,90,95,,233,1800,Unknown,AMD,0
Intel Pentium 4 HT 3.6E,CPU,8/4/2004,90,115,109,125,3600,Intel,Intel,27.25
AMD Athlon 64 LE-1640,CPU,10/8/2007,90,45,230,227,2600,Unknown,AMD,57.5
AMD Athlon 64 3700+,CPU,1/1/2001,90,89,199,233,2200,Unknown,AMD,49.75
Intel Xeon 7120M,CPU,8/27/2006,65,95,435,1328,3000,Intel,Intel,108.75
Intel Core i9-10980XE,CPU,10/19/2019,14,165,,,3000,Intel,Intel,0
Intel Core i3-4360,CPU,5/1/2014,22,54,177,1400,3700,Intel,Intel,44.25
Intel Core i5-1130G7,CPU,9/2/2020,10,15,,,1100,Intel,Intel,0
AMD Ryzen 5 PRO 4650GE,CPU,7/21/2020,7,35,,,3300,TSMC,AMD,0
AMD Phenom II X3 710,CPU,2/9/2009,45,95,258,758,2600,Unknown,AMD,64.5
Intel Pentium Silver J5005,CPU,12/1/2017,14,10,,,1500,Intel,Intel,0
AMD Opteron 150,CPU,8/2/2005,90,85,,106,2400,Unknown,AMD,0
Intel Pentium M 1.30,CPU,3/12/2003,130,24,100,77,1300,Intel,Intel,25
AMD Ryzen 5 3600X,CPU,7/7/2019,7,95,74,3800,3800,TSMC,AMD,18.5
Intel Pentium 4 HT 520,CPU,6/21/2004,90,84,109,125,2933,Intel,Intel,27.25
AMD Opteron 846 HE,CPU,3/1/2005,90,55,,106,2000,Unknown,AMD,0
Intel Xeon Platinum 9242,CPU,4/2/2019,14,350,,8000,2300,Intel,Intel,0
Intel Core i3-10105,CPU,3/16/2021,14,65,,,3700,Intel,Intel,0
Intel Core i9-9960X,CPU,10/19/2018,14,165,,,3100,Intel,Intel,0
AMD Athlon II X2 240e,CPU,10/20/2009,45,45,117,410,2800,Unknown,AMD,29.25
AMD A8-3530MX,CPU,6/14/2011,32,45,228,1178,1900,Unknown,AMD,57
Intel Core 2 Quad Q8400,CPU,4/19/2009,45,95,82,456,2666,Intel,Intel,20.5
Intel Core i5-7600K,CPU,1/3/2017,14,91,,,3800,Intel,Intel,0
AMD Sempron 3300+,CPU,8/19/2005,90,62,,63,2000,Unknown,AMD,0
Intel Xeon E5-2680 v2,CPU,9/1/2013,22,115,160,1400,2800,Intel,Intel,40
AMD Athlon 64 3400+,CPU,1/1/2001,90,67,84,69,2400,Unknown,AMD,21
AMD Athlon 64 X2 4800+ EE,CPU,5/23/2006,90,65,220,154,2400,Unknown,AMD,55
Intel Atom S1260,CPU,12/11/2012,32,9,,,2000,Intel,Intel,0
Intel Pentium Gold G5500,CPU,4/2/2018,14,51,,,3800,Intel,Intel,0
AMD Opteron 6380,CPU,11/5/2012,32,115,315,2400,2500,Unknown,AMD,78.75
AMD Athlon II X4 630,CPU,9/16/2009,45,95,169,300,2800,Unknown,AMD,42.25
AMD Athlon 64 X2 4200+,CPU,12/1/2006,65,65,126,154,2200,Unknown,AMD,31.5
Intel Atom E3815,CPU,10/8/2013,22,5,,,1467,Intel,Intel,0
Intel Mobile Pentium 4 HT 548,CPU,9/28/2004,90,88,112,125,3334,Intel,Intel,28
Intel Pentium 4 2.4,CPU,4/2/2002,130,110,146,55,2400,Intel,Intel,36.5
AMD Athlon II X3 420e,CPU,9/21/2010,45,45,169,300,2600,Unknown,AMD,42.25
Intel Core i5-750s,CPU,1/7/2010,45,82,296,774,2400,Intel,Intel,74
AMD Phenom II X4 650T,CPU,7/1/2011,45,95,346,904,2700,Unknown,AMD,86.5
Intel Core i3-3240T,CPU,9/3/2012,22,35,94,,3000,Intel,Intel,23.5
Intel Pentium 3556U,CPU,9/1/2013,22,15,118,1400,1700,Intel,Intel,29.5
AMD Athlon X2 4850e,CPU,3/5/2008,65,45,126,154,2500,Unknown,AMD,31.5
Intel Core i3-2130,CPU,9/4/2011,32,65,131,504,3400,Intel,Intel,32.75
Intel Celeron G1820,CPU,12/1/2013,22,54,177,1400,2700,Intel,Intel,44.25
Intel Core i5-5200U,CPU,3/1/2015,14,15,,,2200,Intel,Intel,0
Intel Core i9-9900X,CPU,10/19/2018,14,165,,,3500,Intel,Intel,0
AMD Opteron 244,CPU,4/22/2003,130,85,193,106,1800,Unknown,AMD,48.25
Intel Xeon E5-2643 v2,CPU,9/1/2013,22,130,160,1400,3500,Intel,Intel,40
Intel Celeron 2955U,CPU,9/1/2013,22,15,118,1400,1400,Intel,Intel,29.5
AMD Phenom II X4 905e,CPU,6/2/2009,45,65,258,758,2500,Unknown,AMD,64.5
Intel Atom Z520,CPU,4/2/2008,45,2,26,47,1334,Intel,Intel,6.5
AMD Athlon XP 2400+,CPU,9/1/2003,130,68,,63,2000,Unknown,AMD,0
AMD Sempron 2600+,CPU,7/28/2004,130,62,80,37,1833,Unknown,AMD,20
Intel Pentium III 1133,CPU,7/31/2000,180,29,80,44,1133,Intel,Intel,20
Intel Core i3-2120,CPU,2/20/2011,32,65,131,504,3300,Intel,Intel,32.75
Intel Xeon 3.6,CPU,2/14/2005,90,135,169,178,3600,Intel,Intel,42.25
Intel Celeron G550,CPU,6/1/2012,32,65,131,504,2600,Intel,Intel,32.75
Intel Xeon E7-4809 v3,CPU,6/1/2015,22,115,160,1400,2000,Intel,Intel,40
Intel Xeon E7-4820 v3,CPU,6/1/2015,22,115,160,1400,1900,Intel,Intel,40
Intel Core i7-4710HQ,CPU,4/1/2014,22,47,264,1400,2500,Intel,Intel,66
AMD Sempron 3200+,CPU,5/23/2006,90,62,103,81,1800,Unknown,AMD,25.75
AMD Athlon II X3 435,CPU,10/9/2009,45,95,169,300,2900,Unknown,AMD,42.25
Intel Xeon E3-1225 v2,CPU,5/14/2012,22,77,160,1400,3200,Intel,Intel,40
Intel Core i7-6900K,CPU,5/31/2016,14,140,,,3200,Intel,Intel,0
Intel Core i5-11400,CPU,3/16/2021,14,65,,,2600,Intel,Intel,0
Intel Pentium 4 HT 670,CPU,5/26/2005,90,84,109,169,3800,Intel,Intel,27.25
AMD FX-6100,CPU,10/12/2011,32,95,315,1200,3300,Unknown,AMD,78.75
AMD Athlon 64 X2 3600+,CPU,1/1/2001,90,89,156,154,2000,Unknown,AMD,39
Intel Xeon 5060,CPU,5/23/2006,65,130,,,3200,Intel,Intel,0
AMD Mobile Athlon 64 2700+,CPU,8/1/2005,130,35,193,106,1600,Unknown,AMD,48.25
Intel Xeon E5-2650L v2,CPU,9/1/2013,22,70,160,1400,1700,Intel,Intel,40
Intel Core i5-661,CPU,1/7/2010,32,87,81,382,3333,Intel,Intel,20.25
AMD Athlon 64 3800+,CPU,4/4/2005,90,89,83,69,2400,Unknown,AMD,20.75
Intel Celeron N2920,CPU,12/1/2013,22,7,,,1860,Intel,Intel,0
AMD FX-4100,CPU,10/12/2011,32,95,315,1200,3600,Unknown,AMD,78.75
Intel Core i3-8121U,CPU,5/5/2018,10,28,123,,2200,Intel,Intel,30.75
Intel Pentium G6951,CPU,9/1/2010,32,73,81,382,2800,Intel,Intel,20.25
AMD Sempron 2300+,CPU,1/1/2001,130,62,101,63,1583,Unknown,AMD,25.25
AMD FX-6130,CPU,10/23/2012,32,95,315,1200,3600,Unknown,AMD,78.75
AMD Phenom II X4 B93,CPU,10/1/2009,45,95,258,758,2800,Unknown,AMD,64.5
AMD Opteron 242,CPU,4/22/2003,130,85,193,106,1600,Unknown,AMD,48.25
AMD Ryzen Threadripper 3980X,CPU,11/14/2019,7,280,74,3800,3500,TSMC,AMD,18.5
Intel Core 2 Duo E4700,CPU,3/2/2008,65,65,111,167,2600,Intel,Intel,27.75
Intel Core i3-2332M,CPU,9/1/2011,32,35,149,624,2200,Intel,Intel,37.25
Intel Core i7-870,CPU,9/8/2009,45,95,296,774,2933,Intel,Intel,74
AMD A6-1450,CPU,5/23/2013,32,8,246,1178,1000,Unknown,AMD,61.5
Intel Pentium D 960,CPU,5/2/2006,65,130,140,376,3600,Intel,Intel,35
Intel Core i7-10700,CPU,4/30/2020,14,65,,,2900,Intel,Intel,0
AMD Opteron 842,CPU,6/30/2003,130,85,193,106,1600,Unknown,AMD,48.25
Intel Core Solo T1400,CPU,1/5/2006,65,27,90,151,1833,Intel,Intel,22.5
AMD Athlon 64 4000+,CPU,1/1/2001,90,89,199,233,2400,Unknown,AMD,49.75
AMD A4-3305M,CPU,6/14/2011,32,35,228,1178,1900,Unknown,AMD,57
AMD Ryzen 5 2600E,CPU,9/19/2018,12,65,192,4800,3100,GF,AMD,48
Intel Core i9-9880H,CPU,4/23/2019,14,45,149,,2300,Intel,Intel,37.25
Intel Core i7-4558U,CPU,6/4/2013,22,28,118,1300,2800,Intel,Intel,29.5
Intel Core i7-3940XM,CPU,9/3/2012,22,55,160,1400,3000,Intel,Intel,40
AMD Opteron 250 HE,CPU,3/1/2005,90,55,,106,2400,Unknown,AMD,0
Intel Xeon W3503,CPU,3/30/2009,45,130,263,731,2400,Intel,Intel,65.75
AMD Athlon 64 3000+,CPU,1/1/2001,90,51,84,69,2000,Unknown,AMD,21
Intel Core i9-9900K,CPU,10/19/2018,14,95,180,,3600,Intel,Intel,45
Intel Pentium 4 HT EE 3.40,CPU,6/21/2004,130,110,237,178,3400,Intel,Intel,59.25
Intel Xeon Silver 4116,CPU,7/11/2017,14,85,,8000,2100,Intel,Intel,0
AMD Phenom X3 8450,CPU,4/23/2008,65,95,285,450,2100,Unknown,AMD,71.25
Intel Core i3-530,CPU,1/7/2010,32,73,81,382,2933,Intel,Intel,20.25
AMD Athlon II X4 641,CPU,2/6/2012,32,100,228,1178,2800,Unknown,AMD,57
AMD Sempron 3400+,CPU,10/1/2005,90,62,84,63,2000,Unknown,AMD,21
AMD Ryzen 7 5700G,CPU,4/13/2021,7,65,,,3800,TSMC,AMD,0
Intel Xeon Silver 4309Y,CPU,4/6/2021,10,105,,,2800,Intel,Intel,0
Intel Core i7-4550U,CPU,6/4/2013,22,15,118,1300,1500,Intel,Intel,29.5
AMD Opteron 144,CPU,9/9/2003,130,82,193,106,1800,Unknown,AMD,48.25
Intel Core i5-2415M,CPU,9/1/2011,32,35,149,624,2300,Intel,Intel,37.25
Intel Core i3-8100T,CPU,4/2/2018,14,35,,,3100,Intel,Intel,0
AMD Mobile Athlon 64 2800+,CPU,8/1/2004,130,82,193,106,1800,Unknown,AMD,48.25
Intel Pentium III 1333,CPU,12/1/2001,130,30,80,44,1333,Intel,Intel,20
Intel Xeon W3680,CPU,3/16/2010,32,130,239,1170,3333,Intel,Intel,59.75
Intel Core i5-11600K,CPU,3/16/2021,14,125,,,3900,Intel,Intel,0
AMD EPYC 7543,CPU,3/15/2021,7,225,,,2800,TSMC,AMD,0
AMD Phenom II X4 960T BE,CPU,6/1/2010,45,95,346,904,3000,Unknown,AMD,86.5
Intel Core i9-11900KF,CPU,3/16/2021,14,125,,,3500,Intel,Intel,0
AMD Ryzen 7 5800H,CPU,1/12/2021,7,54,156,9800,3200,TSMC,AMD,39
AMD Opteron X2 280,CPU,9/26/2005,90,95,,233,2400,Unknown,AMD,0
AMD Athlon 1133,CPU,10/31/2000,180,63,120,37,1133,Unknown,AMD,30
Intel Pentium 4 HT 520,CPU,6/21/2004,90,84,109,125,2800,Intel,Intel,27.25
AMD FX-8370,CPU,9/2/2014,32,125,315,1200,4000,Unknown,AMD,78.75
AMD Ryzen 7 3700U,CPU,1/6/2019,12,15,210,4940,2300,GF,AMD,52.5
Intel Core i7-6800K,CPU,5/31/2016,14,140,,,3400,Intel,Intel,0
Intel Core i5-7400T,CPU,1/3/2017,14,35,,,2400,Intel,Intel,0
AMD Phenom II X2 545,CPU,6/1/2009,45,80,258,758,3000,Unknown,AMD,64.5
Intel Core 2 Quad Q6700,CPU,4/20/2007,65,95,143,582,2666,Intel,Intel,35.75
Intel Core i7-4870HQ,CPU,7/1/2014,22,47,264,1400,2500,Intel,Intel,66
AMD Athlon 600,CPU,6/5/2000,180,38,120,37,600,Unknown,AMD,30
AMD Athlon II X2 235e,CPU,10/20/2009,45,45,117,410,2700,Unknown,AMD,29.25
Intel Pentium M 735,CPU,5/10/2004,90,21,84,140,1700,Intel,Intel,21
AMD Athlon 64 X2 5800+,CPU,4/1/2008,65,89,126,154,3000,Unknown,AMD,31.5
AMD Athlon XP 2000+,CPU,9/1/2003,130,60,,63,1667,Unknown,AMD,0
Intel Core i5-680,CPU,4/19/2010,32,73,81,382,3600,Intel,Intel,20.25
Intel Pentium 4 506,CPU,6/1/2005,90,84,109,125,2660,Intel,Intel,27.25
Intel Core 2 Quad Q9650,CPU,8/10/2008,45,95,107,820,3000,Intel,Intel,26.75
Intel Core i5-460M,CPU,9/26/2010,32,35,81,382,2534,Intel,Intel,20.25
Intel Xeon E3-1260L,CPU,4/3/2011,32,45,216,1160,2400,Intel,Intel,54
Intel Pentium E6700,CPU,5/30/2010,45,65,82,228,3200,Intel,Intel,20.5
AMD Athlon 64 X2 4400+,CPU,5/23/2006,90,89,220,154,2200,Unknown,AMD,55
Intel Xeon Phi 7210,CPU,6/20/2016,14,215,,8000,1300,Intel,Intel,0
Intel Pentium G645,CPU,9/2/2012,32,65,131,504,2900,Intel,Intel,32.75
Intel Core 2 Solo ULV U2200,CPU,9/1/2007,65,5,143,291,1200,Intel,Intel,35.75
Intel Core i3-4330,CPU,9/1/2013,22,54,177,1400,3500,Intel,Intel,44.25
AMD Phenom II 42 TWKR Black Edition,CPU,6/1/2009,45,125,258,758,2000,Unknown,AMD,64.5
AMD Phenom II X4 925,CPU,5/11/2009,45,95,258,758,2800,Unknown,AMD,64.5
AMD Ryzen 7 PRO 2700,CPU,9/19/2018,12,65,192,4800,3200,GF,AMD,48
Intel Celeron N2910,CPU,9/11/2013,22,7,,,1600,Intel,Intel,0
AMD EPYC 7F32,CPU,4/14/2020,7,180,74,3800,3700,TSMC,AMD,18.5
Intel Core 2 Extreme QX9775,CPU,3/24/2008,45,150,107,820,3200,Intel,Intel,26.75
AMD Athlon 64 3500+ (F3),CPU,2/20/2007,90,59,1,154,2200,Unknown,AMD,0.25
Intel Xeon 7140N,CPU,8/27/2006,65,150,435,1328,3333,Intel,Intel,108.75
Intel Core 2 Duo E6700,CPU,7/27/2006,65,65,143,291,2667,Intel,Intel,35.75
Intel Pentium 4 HT EE 3.20,CPU,11/3/2003,130,110,237,178,3200,Intel,Intel,59.25
Intel Pentium E6800,CPU,8/29/2010,45,65,82,228,3333,Intel,Intel,20.5
Intel Xeon Platinum 8180,CPU,7/11/2017,14,205,,8000,2500,Intel,Intel,0
AMD Athlon II X2 265,CPU,9/21/2010,45,65,117,410,3300,Unknown,AMD,29.25
AMD Phenom X4 9500,CPU,11/19/2007,65,95,285,450,2200,Unknown,AMD,71.25
AMD Turion 64 MT-28,CPU,6/22/2005,90,22,125,114,1600,Unknown,AMD,31.25
Intel Xeon W3550,CPU,8/9/2009,45,130,263,731,3066,Intel,Intel,65.75
Intel Celeron 725C,CPU,7/1/2011,32,17,131,504,1300,Intel,Intel,32.75
AMD EPYC 7251,CPU,6/29/2017,14,120,213,4800,2100,GF,AMD,53.25
AMD Ryzen 9 4900HS,CPU,3/7/2020,7,35,156,9800,3000,TSMC,AMD,39
AMD A10-4655M,CPU,5/15/2012,32,25,246,1178,2000,Unknown,AMD,61.5
Intel Atom Z510,CPU,4/2/2008,45,2,26,47,1100,Intel,Intel,6.5
AMD FX-4130,CPU,1/30/2013,32,125,315,1200,3800,Unknown,AMD,78.75
